YMS, HM, Used
20180531.000000, 1700.000000, 1.320000
20180531.000000, 1645.000000, 1.306000
20180531.000000, 1630.000000, 1.344000
20180531.000000, 1730.000000, 1.344000
20180531.000000, 1715.000000, 1.324000
20180531.000000, 1700.000000, 1.320000
20180531.000000, 1645.000000, 1.306000
20180531.000000, 1630.000000, 1.344000
20180531.000000, 1615.000000, 1.328000
20180531.000000, 1715.000000, 1.324000
20180531.000000, 1700.000000, 1.320000
20180531.000000, 1645.000000, 1.306000
20180531.000000, 1630.000000, 1.344000
20180531.000000, 1615.000000, 1.328000
20180531.000000, 1600.000000, 1.370000
20180531.000000, 1700.000000, 1.320000
20180531.000000, 1645.000000, 1.306000
20180531.000000, 1630.000000, 1.344000
20180531.000000, 1615.000000, 1.328000
20180531.000000, 1600.000000, 1.370000
20180531.000000, 1545.000000, 1.334000
20180531.000000, 1645.000000, 1.306000
20180531.000000, 1630.000000, 1.344000
20180531.000000, 1615.000000, 1.328000
20180531.000000, 1600.000000, 1.370000
20180531.000000, 1545.000000, 1.334000
20180531.000000, 1530.000000, 1.316000
20180531.000000, 1630.000000, 1.344000
20180531.000000, 1615.000000, 1.328000
20180531.000000, 1600.000000, 1.370000
20180531.000000, 1545.000000, 1.334000
20180531.000000, 1530.000000, 1.316000
20180531.000000, 1515.000000, 1.316000
20180531.000000, 1615.000000, 1.328000
20180531.000000, 1600.000000, 1.370000
20180531.000000, 1545.000000, 1.334000
20180531.000000, 1530.000000, 1.316000
20180531.000000, 1515.000000, 1.316000
20180531.000000, 1500.000000, 1.310000
20180531.000000, 1600.000000, 1.370000
20180531.000000, 1545.000000, 1.334000
20180531.000000, 1530.000000, 1.316000
20180531.000000, 1515.000000, 1.316000
20180531.000000, 1500.000000, 1.310000
20180531.000000, 1445.000000, 1.324000
20180531.000000, 1545.000000, 1.334000
20180531.000000, 1530.000000, 1.316000
20180531.000000, 1515.000000, 1.316000
20180531.000000, 1500.000000, 1.310000
20180531.000000, 1445.000000, 1.324000
20180531.000000, 1430.000000, 1.304000
20180531.000000, 1530.000000, 1.316000
20180531.000000, 1515.000000, 1.316000
20180531.000000, 1500.000000, 1.310000
20180531.000000, 1445.000000, 1.324000
20180531.000000, 1430.000000, 1.304000
20180531.000000, 1415.000000, 1.348000
20180531.000000, 1515.000000, 1.316000
20180531.000000, 1500.000000, 1.310000
20180531.000000, 1445.000000, 1.324000
20180531.000000, 1430.000000, 1.304000
20180531.000000, 1415.000000, 1.348000
20180531.000000, 1400.000000, 1.344000
20180531.000000, 1500.000000, 1.310000
20180531.000000, 1445.000000, 1.324000
20180531.000000, 1430.000000, 1.304000
20180531.000000, 1415.000000, 1.348000
20180531.000000, 1400.000000, 1.344000
20180531.000000, 1345.000000, 1.360000
20180531.000000, 1445.000000, 1.324000
20180531.000000, 1430.000000, 1.304000
20180531.000000, 1415.000000, 1.348000
20180531.000000, 1400.000000, 1.344000
20180531.000000, 1345.000000, 1.360000
20180531.000000, 1330.000000, 1.314000
20180531.000000, 1430.000000, 1.304000
20180531.000000, 1415.000000, 1.348000
20180531.000000, 1400.000000, 1.344000
20180531.000000, 1345.000000, 1.360000
20180531.000000, 1330.000000, 1.314000
20180531.000000, 1315.000000, 1.326000
20180531.000000, 1415.000000, 1.348000
20180531.000000, 1400.000000, 1.344000
20180531.000000, 1345.000000, 1.360000
20180531.000000, 1330.000000, 1.314000
20180531.000000, 1315.000000, 1.326000
20180531.000000, 1300.000000, 1.324000
20180531.000000, 1400.000000, 1.344000
20180531.000000, 1345.000000, 1.360000
20180531.000000, 1330.000000, 1.314000
20180531.000000, 1315.000000, 1.326000
20180531.000000, 1300.000000, 1.324000
20180531.000000, 1245.000000, 1.340000
20180531.000000, 1345.000000, 1.360000
20180531.000000, 1330.000000, 1.314000
20180531.000000, 1315.000000, 1.326000
20180531.000000, 1300.000000, 1.324000
20180531.000000, 1245.000000, 1.340000
20180531.000000, 1230.000000, 1.384000
20180531.000000, 1330.000000, 1.314000
20180531.000000, 1315.000000, 1.326000
20180531.000000, 1300.000000, 1.324000
20180531.000000, 1245.000000, 1.340000
20180531.000000, 1230.000000, 1.384000
20180531.000000, 1215.000000, 1.528000
20180531.000000, 1315.000000, 1.326000
20180531.000000, 1300.000000, 1.324000
20180531.000000, 1245.000000, 1.340000
20180531.000000, 1230.000000, 1.384000
20180531.000000, 1215.000000, 1.528000
20180531.000000, 1200.000000, 1.350000
20180531.000000, 1300.000000, 1.324000
20180531.000000, 1245.000000, 1.340000
20180531.000000, 1230.000000, 1.384000
20180531.000000, 1215.000000, 1.528000
20180531.000000, 1200.000000, 1.350000
20180531.000000, 1145.000000, 1.330000
20180531.000000, 1245.000000, 1.340000
20180531.000000, 1230.000000, 1.384000
20180531.000000, 1215.000000, 1.528000
20180531.000000, 1200.000000, 1.350000
20180531.000000, 1145.000000, 1.330000
20180531.000000, 1130.000000, 1.140000
20180531.000000, 1230.000000, 1.384000
20180531.000000, 1215.000000, 1.528000
20180531.000000, 1200.000000, 1.350000
20180531.000000, 1145.000000, 1.330000
20180531.000000, 1130.000000, 1.140000
20180531.000000, 1115.000000, 0.904000
20180531.000000, 1215.000000, 1.528000
20180531.000000, 1200.000000, 1.350000
20180531.000000, 1145.000000, 1.330000
20180531.000000, 1130.000000, 1.140000
20180531.000000, 1115.000000, 0.904000
20180531.000000, 1100.000000, 0.942000
20180531.000000, 1200.000000, 1.350000
20180531.000000, 1145.000000, 1.330000
20180531.000000, 1130.000000, 1.140000
20180531.000000, 1115.000000, 0.904000
20180531.000000, 1100.000000, 0.942000
20180531.000000, 1045.000000, 0.924000
20180531.000000, 1145.000000, 1.330000
20180531.000000, 1130.000000, 1.140000
20180531.000000, 1115.000000, 0.904000
20180531.000000, 1100.000000, 0.942000
